,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,24924000000.0,-517000000.0,-38334000000.0,-60225000000.0,23108000000.0,
Repurchase Of Capital Stock,-6000000000.0,-5000000000.0,-3999000000.0,-3251000000.0,-968000000.0,
Repayment Of Debt,-25346000000.0,-31642000000.0,-23240000000.0,-23093000000.0,-25428000000.0,
Issuance Of Debt,25733000000.0,28798000000.0,37886000000.0,29612000000.0,20912000000.0,
Issuance Of Capital Stock,2496000000.0,2695000000.0,0.0,1995000000.0,1496000000.0,
Capital Expenditure,-1631000000.0,-1617000000.0,-1755000000.0,-1517000000.0,-1688000000.0,
Interest Paid Supplemental Data,20316000000.0,21383000000.0,19895000000.0,19389000000.0,20875000000.0,
Income Tax Paid Supplemental Data,1798000000.0,1549000000.0,1653000000.0,1514000000.0,1334000000.0,
End Cash Position,349579000000.0,348060000000.0,337473000000.0,308331000000.0,276532000000.0,
Beginning Cash Position,348060000000.0,337473000000.0,308331000000.0,276532000000.0,303094000000.0,
Effect Of Exchange Rate Changes,-987000000.0,-1195000000.0,8598000000.0,4514000000.0,-11801000000.0,
Changes In Cash,2506000000.0,11782000000.0,20544000000.0,27285000000.0,-14761000000.0,
Financing Cash Flow,25281000000.0,20685000000.0,7089000000.0,184976000000.0,-47306000000.0,
Cash Flow From Continuing Financing Activities,25281000000.0,20685000000.0,7089000000.0,184976000000.0,-47306000000.0,
Net Other Financing Charges,1873000000.0,-5000000.0,-16000000.0,-754000000.0,-6000000.0,
Cash Dividends Paid,-1351000000.0,-1370000000.0,-1328000000.0,-1323000000.0,-1314000000.0,
Net Preferred Stock Issuance,996000000.0,2695000000.0,-2000000000.0,495000000.0,1496000000.0,
Preferred Stock Payments,-1500000000.0,0.0,-2000000000.0,-1500000000.0,0.0,
Preferred Stock Issuance,2496000000.0,2695000000.0,0.0,1995000000.0,1496000000.0,
Net Common Stock Issuance,-4500000000.0,-5000000000.0,-1999000000.0,-1751000000.0,-968000000.0,
Common Stock Payments,-4500000000.0,-5000000000.0,-1999000000.0,-1751000000.0,-968000000.0,
Net Issuance Payments Of Debt,-2495000000.0,-3644000000.0,21067000000.0,7153000000.0,2649000000.0,
Net Short Term Debt Issuance,-2882000000.0,-800000000.0,6421000000.0,634000000.0,7165000000.0,
Net Long Term Debt Issuance,387000000.0,-2844000000.0,14646000000.0,6519000000.0,-4516000000.0,
Long Term Debt Payments,-25346000000.0,-31642000000.0,-23240000000.0,-23093000000.0,-25428000000.0,
Long Term Debt Issuance,25733000000.0,28798000000.0,37886000000.0,29612000000.0,20912000000.0,
Investing Cash Flow,-49330000000.0,-10003000000.0,50034000000.0,-98983000000.0,7749000000.0,
Cash Flow From Continuing Investing Activities,-49330000000.0,-10003000000.0,50034000000.0,-98983000000.0,7749000000.0,
Net Other Investing Changes,83000000.0,1706000000.0,919000000.0,-541000000.0,664000000.0,
Net Investment Purchase And Sale,8081000000.0,-1350000000.0,12268000000.0,29721000000.0,5136000000.0,
Sale Of Investment,75440000000.0,67759000000.0,78454000000.0,108588000000.0,79437000000.0,
Purchase Of Investment,-67359000000.0,-69109000000.0,-66186000000.0,-78867000000.0,-74301000000.0,
Net Business Purchase And Sale,,,,,0.0,0.0
Purchase Of Business,,,,,0.0,0.0
Net PPE Purchase And Sale,38000000.0,8000000.0,5000000.0,11000000.0,21000000.0,
Sale Of PPE,38000000.0,8000000.0,5000000.0,11000000.0,21000000.0,
Capital Expenditure Reported,-1631000000.0,-1617000000.0,-1755000000.0,-1517000000.0,-1688000000.0,
Operating Cash Flow,26555000000.0,1100000000.0,-36579000000.0,-58708000000.0,24796000000.0,
Cash Flow From Continuing Operating Activities,26555000000.0,1100000000.0,-36579000000.0,-58708000000.0,24796000000.0,
Change In Working Capital,20513000000.0,-7793000000.0,-35573000000.0,-62019000000.0,7528000000.0,
Change In Other Working Capital,26182000000.0,-10765000000.0,-28703000000.0,-55928000000.0,4821000000.0,
Change In Other Current Liabilities,-907000000.0,-393000000.0,2605000000.0,-2168000000.0,-29000000.0,
Change In Other Current Assets,-2578000000.0,-1757000000.0,-5521000000.0,-3067000000.0,301000000.0,
Other Non Cash Items,-1262000000.0,918000000.0,-9309000000.0,-4456000000.0,10901000000.0,
Asset Impairment Charge,0.0,,,,,
Deferred Tax,225000000.0,7000000.0,228000000.0,-8000000.0,-322000000.0,
Deferred Income Tax,225000000.0,7000000.0,228000000.0,-8000000.0,-322000000.0,
Depreciation Amortization Depletion,1103000000.0,1123000000.0,1097000000.0,1050000000.0,1019000000.0,
Depreciation And Amortization,1103000000.0,1123000000.0,1097000000.0,1050000000.0,1019000000.0,
Operating Gains Losses,1284000000.0,-84000000.0,87000000.0,-63000000.0,221000000.0,
Gain Loss On Investment Securities,-107000000.0,-105000000.0,-138000000.0,-121000000.0,-118000000.0,
Gain Loss On Sale Of Business,1170000000.0,-2000000.0,,,0.0,0.0
Net Income From Continuing Operations,2472000000.0,3753000000.0,4019000000.0,4065000000.0,2856000000.0,
