,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,7387000000.0,8767000000.0,5667000000.0,4319000000.0,2092000000.0,
Repurchase Of Capital Stock,-2520000000.0,-1037000000.0,-667000000.0,-375000000.0,-161000000.0,
Repayment Of Debt,-3452000000.0,-5396000000.0,-2935000000.0,-6073000000.0,-3873000000.0,
Issuance Of Debt,3007000000.0,4109000000.0,166000000.0,1749000000.0,835000000.0,
Issuance Of Capital Stock,105000000.0,91000000.0,111000000.0,93000000.0,72000000.0,
Capital Expenditure,-444000000.0,-387000000.0,-399000000.0,-348000000.0,-356000000.0,
Interest Paid Supplemental Data,4058000000.0,4224000000.0,3393000000.0,3211000000.0,3370000000.0,
Income Tax Paid Supplemental Data,312000000.0,273000000.0,218000000.0,3000000.0,542000000.0,
End Cash Position,62093000000.0,58527000000.0,61578000000.0,48965000000.0,43671000000.0,
Beginning Cash Position,58527000000.0,61578000000.0,48965000000.0,43671000000.0,49719000000.0,
Changes In Cash,3566000000.0,-3051000000.0,12613000000.0,5294000000.0,-6048000000.0,
Financing Cash Flow,3544000000.0,-2254000000.0,-9924000000.0,-218000000.0,5753000000.0,
Cash Flow From Continuing Financing Activities,3544000000.0,-2254000000.0,-9924000000.0,-218000000.0,5753000000.0,
Proceeds From Stock Option Exercised,8000000.0,0.0,0.0,1000000.0,0.0,
Cash Dividends Paid,-581000000.0,-443000000.0,-453000000.0,-291000000.0,-289000000.0,
Preferred Stock Dividend Paid,-73000000.0,-57000000.0,-65000000.0,-57000000.0,-57000000.0,
Common Stock Dividend Paid,-508000000.0,-386000000.0,-388000000.0,-234000000.0,-232000000.0,
Net Preferred Stock Issuance,0.0,0.0,,,,
Preferred Stock Payments,0.0,0.0,,,,
Net Common Stock Issuance,-2415000000.0,-946000000.0,-56000000.0,-282000000.0,-89000000.0,
Common Stock Payments,-2520000000.0,-1037000000.0,-167000000.0,-375000000.0,-161000000.0,
Common Stock Issuance,105000000.0,91000000.0,111000000.0,93000000.0,72000000.0,
Net Issuance Payments Of Debt,-445000000.0,-1287000000.0,-2769000000.0,-4324000000.0,-3038000000.0,
Net Long Term Debt Issuance,-445000000.0,-1287000000.0,-2769000000.0,-4324000000.0,-3038000000.0,
Long Term Debt Payments,-3452000000.0,-5396000000.0,-2935000000.0,-6073000000.0,-3873000000.0,
Long Term Debt Issuance,3007000000.0,4109000000.0,166000000.0,1749000000.0,835000000.0,
Investing Cash Flow,-7809000000.0,-9951000000.0,16471000000.0,845000000.0,-14249000000.0,
Cash Flow From Continuing Investing Activities,-16609000000.0,-9951000000.0,16471000000.0,845000000.0,-14249000000.0,
Net Other Investing Changes,-657000000.0,-401000000.0,-444000000.0,-318000000.0,-861000000.0,
Net Investment Purchase And Sale,-959000000.0,-1581000000.0,11746000000.0,234000000.0,-2389000000.0,
Sale Of Investment,4618000000.0,4377000000.0,15534000000.0,3073000000.0,3117000000.0,
Purchase Of Investment,-5577000000.0,-5958000000.0,-3788000000.0,-2839000000.0,-5506000000.0,
Net Business Purchase And Sale,0.0,1000000.0,,,0.0,0.0
Sale Of Business,0.0,1000000.0,,,,
Net PPE Purchase And Sale,-444000000.0,-387000000.0,-399000000.0,-348000000.0,-356000000.0,
Purchase Of PPE,,,,,-356000000.0,
Operating Cash Flow,7831000000.0,9154000000.0,6066000000.0,4667000000.0,2448000000.0,
Cash From Discontinued Operating Activities,70000000.0,116000000.0,,,,
Cash Flow From Continuing Operating Activities,7761000000.0,9038000000.0,6168000000.0,4667000000.0,2452000000.0,
Change In Working Capital,742000000.0,753000000.0,-301000000.0,82000000.0,-1820000000.0,
Change In Other Current Liabilities,730000000.0,821000000.0,360000000.0,178000000.0,-487000000.0,
Change In Other Current Assets,30000000.0,77000000.0,-708000000.0,-9000000.0,-1339000000.0,
Change In Payables And Accrued Expense,18000000.0,-62000000.0,-105000000.0,-20000000.0,-39000000.0,
Change In Payable,18000000.0,-62000000.0,-105000000.0,-20000000.0,-39000000.0,
Change In Account Payable,18000000.0,-62000000.0,-105000000.0,-20000000.0,-39000000.0,
Change In Receivables,-36000000.0,-83000000.0,152000000.0,-67000000.0,45000000.0,
Changes In Account Receivables,-36000000.0,-83000000.0,152000000.0,-67000000.0,45000000.0,
Other Non Cash Items,-560000000.0,-489000000.0,603000000.0,-436000000.0,-74000000.0,
Stock Based Compensation,200000000.0,174000000.0,225000000.0,177000000.0,144000000.0,
Deferred Tax,-503000000.0,858000000.0,-2524000000.0,262000000.0,-352000000.0,
Deferred Income Tax,-503000000.0,858000000.0,-2524000000.0,262000000.0,-352000000.0,
Depreciation Amortization Depletion,1605000000.0,1832000000.0,1011000000.0,812000000.0,814000000.0,
Depreciation And Amortization,1605000000.0,1832000000.0,1011000000.0,812000000.0,814000000.0,
Operating Gains Losses,1000000.0,4000000.0,1000000.0,-3000000.0,2000000.0,
Gain Loss On Investment Securities,0.0,,,,0.0,
Net Income From Continuing Operations,2134000000.0,3192000000.0,-4277000000.0,1404000000.0,1096000000.0,
